book_loans_BookID,book_loans_BranchID,book_loans_CardNo,book_loans_DateOut,book_loans_DueDate
1,1,100,1/1/18,2/2/18
2,1,100,1/1/18,2/2/18
3,1,100,1/1/18,2/2/18
4,1,100,1/1/18,2/2/18
5,1,102,1/3/18,2/3/18
6,1,102,1/3/18,2/3/18
7,1,102,1/3/18,2/3/18
8,1,102,1/3/18,2/3/18
9,1,102,1/3/18,2/3/18
11,1,102,1/3/18,2/3/18
12,2,105,12/12/17,1/12/18
10,2,105,12/12/17,1/12/17
20,2,105,2/3/18,3/3/18
18,2,105,1/5/18,2/5/18
19,2,105,1/5/18,2/5/18
19,2,100,1/3/18,2/3/18
11,2,106,1/7/18,2/7/18
1,2,106,1/7/18,2/7/18
2,2,100,1/7/18,2/7/18
3,2,100,1/7/18,2/7/18
5,2,105,12/12/17,1/12/18
4,3,103,1/9/18,2/9/18
7,3,102,1/3/18,2/3/18
17,3,102,1/3/18,2/3/18
16,3,104,1/3/18,2/3/18
15,3,104,1/3/18,2/3/18
15,3,107,1/3/18,2/3/18
14,3,104,1/3/18,2/3/18
13,3,107,1/3/18,2/3/18
13,3,102,1/3/18,2/3/18
19,3,102,12/12/17,1/12/18
20,4,103,1/3/18,2/3/18
1,4,102,1/12/18,2/12/18
3,4,107,1/3/18,2/3/18
18,4,107,1/3/18,2/3/18
12,4,102,1/4/18,2/4/18
11,4,103,1/15/18,2/15/18
9,4,103,1/15/18,2/15/18
7,4,107,1/1/18,2/2/18
4,4,103,1/1/18,2/2/18
1,4,103,2/2/17,3/2/18
20,4,103,1/3/18,2/3/18
1,4,102,1/12/18,2/12/18
3,4,107,1/13/18,2/13/18
18,4,107,1/13/18,2/13/18
12,4,102,1/14/18,2/14/18
11,4,103,1/15/18,2/15/18
9,4,103,1/15/18,2/15/18
7,4,107,1/19/18,2/19/18
4,4,103,1/19/18,2/19/18
1,4,103,1/22/18,2/22/18
